Data,Interval,Pret mediu [lei/MWh],Rezolutie
2026-01-01,1,530.29,PT15M
2026-01-01,2,503.06,PT15M
2026-01-01,3,499.35,PT15M
2026-01-01,4,467.11,PT15M
2026-01-01,5,504.91,PT15M
2026-01-01,6,495.55,PT15M
2026-01-01,7,474.67,PT15M
2026-01-01,8,439.96,PT15M
2026-01-01,9,496.91,PT15M
2026-01-01,10,455.79,PT15M
2026-01-01,11,439.79,PT15M
2026-01-01,12,402.61,PT15M
2026-01-01,13,421.01,PT15M
2026-01-01,14,396.32,PT15M
2026-01-01,15,381.91,PT15M
2026-01-01,16,390.61,PT15M
2026-01-01,17,353.94,PT15M
2026-01-01,18,358.37,PT15M
2026-01-01,19,378.42,PT15M
2026-01-01,20,378.42,PT15M
2026-01-01,21,266.75,PT15M
2026-01-01,22,372.94,PT15M
2026-01-01,23,384.03,PT15M
2026-01-01,24,408.79,PT15M
2026-01-01,25,385.21,PT15M
2026-01-01,26,409.53,PT15M
2026-01-01,27,423.02,PT15M
2026-01-01,28,438.25,PT15M
2026-01-01,29,426.60,PT15M
2026-01-01,30,383.62,PT15M
2026-01-01,31,311.44,PT15M
2026-01-01,32,248.73,PT15M
2026-01-01,33,245.40,PT15M
2026-01-01,34,219.60,PT15M
2026-01-01,35,219.69,PT15M
2026-01-01,36,190.67,PT15M
2026-01-01,37,260.02,PT15M
2026-01-01,38,235.24,PT15M
2026-01-01,39,152.61,PT15M
2026-01-01,40,52.23,PT15M
2026-01-01,41,231.80,PT15M
2026-01-01,42,126.66,PT15M
2026-01-01,43,113.52,PT15M
2026-01-01,44,52.13,PT15M
2026-01-01,45,200.99,PT15M
2026-01-01,46,107.50,PT15M
2026-01-01,47,128.27,PT15M
2026-01-01,48,103.37,PT15M
2026-01-01,49,114.55,PT15M
2026-01-01,50,132.82,PT15M
2026-01-01,51,151.14,PT15M
2026-01-01,52,176.51,PT15M
2026-01-01,53,203.90,PT15M
2026-01-01,54,203.85,PT15M
2026-01-01,55,162.79,PT15M
2026-01-01,56,167.98,PT15M
2026-01-01,57,198.68,PT15M
2026-01-01,58,279.68,PT15M
2026-01-01,59,278.73,PT15M
2026-01-01,60,409.07,PT15M
2026-01-01,61,281.91,PT15M
2026-01-01,62,335.56,PT15M
2026-01-01,63,530.29,PT15M
2026-01-01,64,673.95,PT15M
2026-01-01,65,554.38,PT15M
2026-01-01,66,565.13,PT15M
2026-01-01,67,627.25,PT15M
2026-01-01,68,495.86,PT15M
2026-01-01,69,578.05,PT15M
2026-01-01,70,629.75,PT15M
2026-01-01,71,530.30,PT15M
2026-01-01,72,465.90,PT15M
2026-01-01,73,586.51,PT15M
2026-01-01,74,479.43,PT15M
2026-01-01,75,605.00,PT15M
2026-01-01,76,533.06,PT15M
2026-01-01,77,446.66,PT15M
2026-01-01,78,538.39,PT15M
2026-01-01,79,616.27,PT15M
2026-01-01,80,602.67,PT15M
2026-01-01,81,530.31,PT15M
2026-01-01,82,629.28,PT15M
2026-01-01,83,530.31,PT15M
2026-01-01,84,514.10,PT15M
2026-01-01,85,530.31,PT15M
2026-01-01,86,530.30,PT15M
2026-01-01,87,431.73,PT15M
2026-01-01,88,342.28,PT15M
2026-01-01,89,530.31,PT15M
2026-01-01,90,399.07,PT15M
2026-01-01,91,350.88,PT15M
2026-01-01,92,311.80,PT15M
2026-01-01,93,456.21,PT15M
2026-01-01,94,259.33,PT15M
2026-01-01,95,266.44,PT15M
2026-01-01,96,206.42,PT15M
